"Time (UTCG)","q1","q2","q3","q4"
20 May 2022 16:00:00.000,-0.613883,-0.351295,-0.452322,0.543272
20 May 2022 16:01:00.000,-0.621255,-0.362198,-0.442239,0.535985
20 May 2022 16:02:00.000,-0.628187,-0.372571,-0.432354,0.528812
20 May 2022 16:03:00.000,-0.634713,-0.382443,-0.422665,0.521758
20 May 2022 16:04:00.000,-0.640864,-0.391837,-0.413168,0.514830
20 May 2022 16:05:00.000,-0.646670,-0.400778,-0.403856,0.508030
20 May 2022 16:06:00.000,-0.652158,-0.409287,-0.394727,0.501363
20 May 2022 16:07:00.000,-0.657353,-0.417386,-0.385773,0.494829
20 May 2022 16:08:00.000,-0.662277,-0.425095,-0.376989,0.488428
20 May 2022 16:09:00.000,-0.666953,-0.432432,-0.368370,0.482162
20 May 2022 16:10:00.000,-0.671400,-0.439414,-0.359909,0.476028
20 May 2022 16:11:00.000,-0.675636,-0.446057,-0.351601,0.470027
20 May 2022 16:12:00.000,-0.679679,-0.452377,-0.343440,0.464156
20 May 2022 16:13:00.000,-0.683543,-0.458389,-0.335419,0.458413
20 May 2022 16:14:00.000,-0.687244,-0.464104,-0.327533,0.452797
20 May 2022 16:15:00.000,-0.690794,-0.469536,-0.319778,0.447304
20 May 2022 16:16:00.000,-0.694207,-0.474697,-0.312146,0.441932
20 May 2022 16:17:00.000,-0.697493,-0.479598,-0.304634,0.436678
20 May 2022 16:18:00.000,-0.700662,-0.484248,-0.297237,0.431539
20 May 2022 16:19:00.000,-0.703726,-0.488658,-0.289949,0.426513
20 May 2022 16:20:00.000,-0.706692,-0.492836,-0.282765,0.421596
20 May 2022 16:21:00.000,-0.709569,-0.496792,-0.275683,0.416785
20 May 2022 16:22:00.000,-0.712364,-0.500532,-0.268696,0.412077
20 May 2022 16:23:00.000,-0.715085,-0.504066,-0.261802,0.407469
20 May 2022 16:24:00.000,-0.717738,-0.507399,-0.254996,0.402958
20 May 2022 16:25:00.000,-0.720330,-0.510539,-0.248275,0.398541
20 May 2022 16:26:00.000,-0.722865,-0.513492,-0.241634,0.394215
20 May 2022 16:27:00.000,-0.725349,-0.516264,-0.235071,0.389976
20 May 2022 16:28:00.000,-0.727788,-0.518860,-0.228583,0.385823
20 May 2022 16:29:00.000,-0.730184,-0.521286,-0.222166,0.381752
20 May 2022 16:30:00.000,-0.732543,-0.523547,-0.215817,0.377760
20 May 2022 16:31:00.000,-0.734867,-0.525648,-0.209533,0.373845
20 May 2022 16:32:00.000,-0.737161,-0.527594,-0.203312,0.370003
20 May 2022 16:33:00.000,-0.739428,-0.529388,-0.197152,0.366232
20 May 2022 16:34:00.000,-0.741670,-0.531035,-0.191049,0.362530
20 May 2022 16:35:00.000,-0.743890,-0.532538,-0.185001,0.358894
20 May 2022 16:36:00.000,-0.746091,-0.533902,-0.179007,0.355321
20 May 2022 16:37:00.000,-0.748275,-0.535130,-0.173063,0.351810
20 May 2022 16:38:00.000,-0.750443,-0.536225,-0.167168,0.348356
20 May 2022 16:39:00.000,-0.752598,-0.537191,-0.161320,0.344959
20 May 2022 16:40:00.000,-0.754742,-0.538031,-0.155518,0.341616
20 May 2022 16:41:00.000,-0.756875,-0.538748,-0.149758,0.338325
20 May 2022 16:42:00.000,-0.758999,-0.539344,-0.144040,0.335083
20 May 2022 16:43:00.000,-0.761116,-0.539822,-0.138362,0.331888
20 May 2022 16:44:00.000,-0.763226,-0.540186,-0.132723,0.328739
20 May 2022 16:45:00.000,-0.765331,-0.540437,-0.127120,0.325633
20 May 2022 16:46:00.000,-0.767430,-0.540578,-0.121553,0.322569
20 May 2022 16:47:00.000,-0.769526,-0.540612,-0.116020,0.319543
20 May 2022 16:48:00.000,-0.771618,-0.540541,-0.110519,0.316556
20 May 2022 16:49:00.000,-0.773706,-0.540366,-0.105050,0.313603
20 May 2022 16:50:00.000,-0.775792,-0.540091,-0.099612,0.310685
20 May 2022 16:51:00.000,-0.777876,-0.539718,-0.094202,0.307799
20 May 2022 16:52:00.000,-0.779957,-0.539248,-0.088821,0.304943
20 May 2022 16:53:00.000,-0.782036,-0.538683,-0.083467,0.302115
20 May 2022 16:54:00.000,-0.784113,-0.538026,-0.078139,0.299315
20 May 2022 16:55:00.000,-0.786187,-0.537279,-0.072836,0.296540
20 May 2022 16:56:00.000,-0.788260,-0.536443,-0.067557,0.293789
20 May 2022 16:57:00.000,-0.790329,-0.535520,-0.062302,0.291061
20 May 2022 16:58:00.000,-0.792396,-0.534513,-0.057069,0.288353
20 May 2022 16:59:00.000,-0.794460,-0.533423,-0.051858,0.285665
20 May 2022 17:00:00.000,-0.796520,-0.532252,-0.046667,0.282995
20 May 2022 17:01:00.000,-0.002098,-0.963835,-0.086247,0.252150
20 May 2022 17:02:00.000,-0.006402,-0.971450,-0.084698,0.221517
20 May 2022 17:03:00.000,-0.010785,-0.978068,-0.083169,0.190654
20 May 2022 17:04:00.000,-0.015233,-0.983681,-0.081669,0.159593
20 May 2022 17:05:00.000,-0.019729,-0.988282,-0.080205,0.128365
20 May 2022 17:06:00.000,-0.024257,-0.991865,-0.078784,0.097001
20 May 2022 17:07:00.000,-0.028800,-0.994426,-0.077414,0.065532
20 May 2022 17:08:00.000,-0.033342,-0.995963,-0.076097,0.033990
20 May 2022 17:09:00.000,-0.037863,-0.996474,-0.074838,0.002406
20 May 2022 17:10:00.000,-0.042348,-0.995958,-0.073638,-0.029188
20 May 2022 17:11:00.000,-0.046778,-0.994417,-0.072498,-0.060759
20 May 2022 17:12:00.000,-0.051136,-0.991852,-0.071418,-0.092276
20 May 2022 17:13:00.000,-0.055405,-0.988267,-0.070396,-0.123707
20 May 2022 17:14:00.000,-0.059568,-0.983667,-0.069429,-0.155020
20 May 2022 17:15:00.000,-0.063608,-0.978057,-0.068512,-0.186184
20 May 2022 17:16:00.000,-0.067512,-0.971445,-0.067640,-0.217166
20 May 2022 17:17:00.000,-0.071264,-0.963840,-0.066807,-0.247935
20 May 2022 17:18:00.000,-0.074850,-0.955249,-0.066006,-0.278459
20 May 2022 17:19:00.000,-0.078258,-0.945685,-0.065226,-0.308708
20 May 2022 17:20:00.000,-0.081476,-0.935159,-0.064461,-0.338651
20 May 2022 17:21:00.000,-0.084495,-0.923683,-0.063699,-0.368257
20 May 2022 17:22:00.000,-0.087305,-0.911271,-0.062929,-0.397497
20 May 2022 17:23:00.000,-0.089899,-0.897937,-0.062142,-0.426339
20 May 2022 17:24:00.000,-0.092271,-0.883699,-0.061325,-0.454755
20 May 2022 17:25:00.000,-0.094415,-0.868571,-0.060466,-0.482716
20 May 2022 17:26:00.000,-0.096329,-0.852571,-0.059554,-0.510193
20 May 2022 17:27:00.000,-0.098011,-0.835717,-0.058577,-0.537159
20 May 2022 17:28:00.000,-0.099460,-0.818028,-0.057523,-0.563585
20 May 2022 17:29:00.000,-0.100678,-0.799525,-0.056381,-0.589445
20 May 2022 17:30:00.000,-0.101667,-0.780226,-0.055139,-0.614713
20 May 2022 17:31:00.000,-0.102430,-0.760153,-0.053787,-0.639361
20 May 2022 17:32:00.000,-0.102973,-0.739327,-0.052315,-0.663366
20 May 2022 17:33:00.000,-0.103303,-0.717772,-0.050713,-0.686703
20 May 2022 17:34:00.000,-0.103427,-0.695508,-0.048974,-0.709347
20 May 2022 17:35:00.000,-0.103354,-0.672560,-0.047089,-0.731275
20 May 2022 17:36:00.000,-0.103094,-0.648952,-0.045053,-0.752465
20 May 2022 17:37:00.000,-0.102657,-0.624707,-0.042858,-0.772895
20 May 2022 17:38:00.000,-0.102054,-0.599850,-0.040502,-0.792543
20 May 2022 17:39:00.000,-0.101299,-0.574407,-0.037982,-0.811389
20 May 2022 17:40:00.000,-0.100404,-0.548402,-0.035295,-0.829414
20 May 2022 17:41:00.000,-0.099382,-0.521862,-0.032441,-0.846599
20 May 2022 17:42:00.000,-0.098247,-0.494814,-0.029420,-0.862926
20 May 2022 17:43:00.000,-0.097014,-0.467283,-0.026236,-0.878377
20 May 2022 17:44:00.000,-0.095695,-0.439297,-0.022892,-0.892937
20 May 2022 17:45:00.000,-0.094305,-0.410884,-0.019393,-0.906590
20 May 2022 17:46:00.000,-0.092857,-0.382070,-0.015745,-0.919321
20 May 2022 17:47:00.000,-0.091367,-0.352885,-0.011956,-0.931118
20 May 2022 17:48:00.000,-0.089845,-0.323355,-0.008036,-0.941968
20 May 2022 17:49:00.000,-0.088306,-0.293511,-0.003993,-0.951860
20 May 2022 17:50:00.000,-0.086761,-0.263381,0.000160,-0.960783
20 May 2022 17:51:00.000,-0.085222,-0.232993,0.004411,-0.968727
20 May 2022 17:52:00.000,-0.083698,-0.202377,0.008746,-0.975685
20 May 2022 17:53:00.000,-0.082200,-0.171563,0.013151,-0.981650
20 May 2022 17:54:00.000,-0.080736,-0.140580,0.017611,-0.986615
20 May 2022 17:55:00.000,-0.079313,-0.109459,0.022109,-0.990575
20 May 2022 17:56:00.000,-0.077938,-0.078229,0.026631,-0.993527
20 May 2022 17:57:00.000,-0.076616,-0.046920,0.031157,-0.995469
20 May 2022 17:58:00.000,-0.075350,-0.015563,0.035672,-0.996397
20 May 2022 17:59:00.000,-0.074143,0.015812,0.040158,-0.996313
