"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
20 May 2022 16:00:00.000,-6671.806795,858.643592,-2223.245944,2.445101,0.870495,-7.038151
20 May 2022 16:01:00.000,-6511.735873,909.105626,-2640.752354,2.888751,0.811007,-6.874036
20 May 2022 16:02:00.000,-6325.394254,955.900012,-3047.576984,3.320498,0.748282,-6.682218
20 May 2022 16:03:00.000,-6113.548555,998.840211,-3442.081435,3.738604,0.682579,-6.463507
20 May 2022 16:04:00.000,-5877.067818,1037.755525,-3822.679295,4.141393,0.614166,-6.218826
20 May 2022 16:05:00.000,-5616.919638,1072.491742,-4187.842474,4.527257,0.543323,-5.949195
20 May 2022 16:06:00.000,-5334.165898,1102.911701,-4536.107232,4.894662,0.470339,-5.655738
20 May 2022 16:07:00.000,-5029.958156,1128.895796,-4866.079897,5.242155,0.395511,-5.339666
20 May 2022 16:08:00.000,-4705.532704,1150.342394,-5176.442239,5.568364,0.319141,-5.002282
20 May 2022 16:09:00.000,-4362.205323,1167.168175,-5465.956493,5.872011,0.241536,-4.644965
20 May 2022 16:10:00.000,-4001.365776,1179.308405,-5733.470023,6.151911,0.163008,-4.269171
20 May 2022 16:11:00.000,-3624.472060,1186.717126,-5977.919601,6.406974,0.083872,-3.876425
20 May 2022 16:12:00.000,-3233.044438,1189.367276,-6198.335312,6.636215,0.004442,-3.468311
20 May 2022 16:13:00.000,-2828.659295,1187.250736,-6393.844070,6.838749,-0.074965,-3.046472
20 May 2022 16:14:00.000,-2412.942826,1180.378304,-6563.672748,7.013801,-0.154035,-2.612595
20 May 2022 16:15:00.000,-1987.564597,1168.779605,-6707.150907,7.160702,-0.232455,-2.168415
20 May 2022 16:16:00.000,-1554.230981,1152.502926,-6823.713145,7.278893,-0.309916,-1.715699
20 May 2022 16:17:00.000,-1114.678513,1131.614992,-6912.901047,7.367929,-0.386112,-1.256243
20 May 2022 16:18:00.000,-670.667172,1106.200673,-6974.364754,7.427474,-0.460745,-0.791868
20 May 2022 16:19:00.000,-223.973604,1076.362636,-7007.864134,7.457307,-0.533520,-0.324411
20 May 2022 16:20:00.000,223.615682,1042.220926,-7013.269576,7.457322,-0.604153,0.144282
20 May 2022 16:21:00.000,670.311136,1003.912497,-6990.562395,7.427524,-0.672365,0.612362
20 May 2022 16:22:00.000,1114.326994,961.590681,-6939.834854,7.368033,-0.737888,1.077982
20 May 2022 16:23:00.000,1553.888083,915.424605,-6861.289802,7.279082,-0.800464,1.539302
20 May 2022 16:24:00.000,1987.236601,865.598548,-6755.239934,7.161017,-0.859847,1.994502
20 May 2022 16:25:00.000,2412.638837,812.311247,-6622.106665,7.014296,-0.915801,2.441780
20 May 2022 16:26:00.000,2828.391839,755.775152,-6462.418626,6.839485,-0.968104,2.879365
20 May 2022 16:27:00.000,3232.829984,696.215630,-6276.809769,6.637260,-1.016549,3.305519
20 May 2022 16:28:00.000,3624.331453,633.870120,-6066.017101,6.408407,-1.060940,3.718545
20 May 2022 16:29:00.000,4001.324583,568.987235,-5830.878029,6.153811,-1.101100,4.116795
20 May 2022 16:30:00.000,4362.294069,501.825828,-5572.327323,5.874463,-1.136866,4.498672
20 May 2022 16:31:00.000,4705.787003,432.654005,-5291.393705,5.571453,-1.168092,4.862643
20 May 2022 16:32:00.000,5030.418723,361.748105,-4989.196057,5.245965,-1.194649,5.207237
20 May 2022 16:33:00.000,5334.878444,289.391631,-4666.939260,4.899276,-1.216428,5.531058
20 May 2022 16:34:00.000,5617.934650,215.874154,-4325.909672,4.532751,-1.233336,5.832787
20 May 2022 16:35:00.000,5878.440215,141.490183,-3967.470246,4.147837,-1.245301,6.111191
20 May 2022 16:36:00.000,6115.337237,66.538000,-3593.055308,3.746060,-1.252270,6.365125
20 May 2022 16:37:00.000,6327.661541,-8.681521,-3204.165003,3.329018,-1.254209,6.593540
20 May 2022 16:38:00.000,6514.546843,-83.866116,-2802.359432,2.898375,-1.251105,6.795488
20 May 2022 16:39:00.000,6675.228534,-158.713356,-2389.252495,2.455854,-1.242966,6.970124
20 May 2022 16:40:00.000,6809.047069,-232.921871,-1966.505462,2.003234,-1.229820,7.116713
20 May 2022 16:41:00.000,6915.450937,-306.192585,-1535.820306,1.542337,-1.211716,7.234635
20 May 2022 16:42:00.000,6993.999174,-378.229942,-1098.932813,1.075023,-1.188721,7.323384
20 May 2022 16:43:00.000,7044.363435,-448.743132,-657.605512,0.603186,-1.160926,7.382575
20 May 2022 16:44:00.000,7066.329570,-517.447297,-213.620454,0.128737,-1.128439,7.411942
20 May 2022 16:45:00.000,7059.798714,-584.064718,231.228133,-0.346394,-1.091390,7.411344
20 May 2022 16:46:00.000,7024.787879,-648.325972,675.141259,-0.820275,-1.049925,7.380766
20 May 2022 16:47:00.000,6961.430032,-709.971064,1116.322639,-1.290974,-1.004212,7.320313
20 May 2022 16:48:00.000,6869.973667,-768.750508,1552.986157,-1.756574,-0.954435,7.230217
20 May 2022 16:49:00.000,6750.781863,-824.426377,1983.363304,-2.215174,-0.900794,7.110834
20 May 2022 16:50:00.000,6604.330835,-876.773288,2405.710532,-2.664904,-0.843506,6.962641
20 May 2022 16:51:00.000,6431.207998,-925.579345,2818.316510,-3.103930,-0.782805,6.786234
20 May 2022 16:52:00.000,6232.109531,-970.647015,3219.509224,-3.530462,-0.718935,6.582327
20 May 2022 16:53:00.000,6007.837480,-1011.793941,3607.662904,-3.942763,-0.652157,6.351746
20 May 2022 16:54:00.000,5759.296402,-1048.853687,3981.204725,-4.339153,-0.582742,6.095430
20 May 2022 16:55:00.000,5487.489585,-1081.676418,4338.621275,-4.718022,-0.510971,5.814420
20 May 2022 16:56:00.000,5193.514843,-1110.129500,4678.464742,-5.077832,-0.437136,5.509860
20 May 2022 16:57:00.000,4878.559941,-1134.098029,4999.358805,-5.417123,-0.361537,5.182989
20 May 2022 16:58:00.000,4543.897650,-1153.485282,5300.004197,-5.734522,-0.284479,4.835135
20 May 2022 16:59:00.000,4190.880470,-1168.213095,5579.183936,-6.028745,-0.206275,4.467711
20 May 2022 17:00:00.000,3820.935052,-1178.222155,5835.768182,-6.298606,-0.127241,4.082209
20 May 2022 17:01:00.000,3435.556337,-1183.472221,6068.718736,-6.543015,-0.047696,3.680189
20 May 2022 17:02:00.000,3036.301448,-1183.942269,6277.093132,-6.760990,0.032039,3.263281
20 May 2022 17:03:00.000,2624.783357,-1179.630552,6460.048351,-6.951652,0.111642,2.833170
20 May 2022 17:04:00.000,2202.664356,-1170.554589,6616.844110,-7.114236,0.190793,2.391594
20 May 2022 17:05:00.000,1771.649362,-1156.751082,6746.845756,-7.248087,0.269173,1.940334
20 May 2022 17:06:00.000,1333.479075,-1138.275755,6849.526731,-7.352667,0.346467,1.481211
20 May 2022 17:07:00.000,889.923012,-1115.203117,6924.470621,-7.427553,0.422364,1.016075
20 May 2022 17:08:00.000,442.772452,-1087.626165,6971.372776,-7.472444,0.496560,0.546800
20 May 2022 17:09:00.000,-6.166695,-1055.656007,6990.041511,-7.487153,0.568755,0.075276
20 May 2022 17:10:00.000,-455.081068,-1019.421419,6980.398872,-7.471617,0.638659,-0.396597
20 May 2022 17:11:00.000,-902.157069,-979.068343,6942.480974,-7.425893,0.705991,-0.866917
20 May 2022 17:12:00.000,-1345.588072,-934.759311,6876.437916,-7.350156,0.770479,-1.333788
20 May 2022 17:13:00.000,-1783.581622,-886.672808,6782.533250,-7.244703,0.831863,-1.795326
20 May 2022 17:14:00.000,-2214.366601,-835.002577,6661.143033,-7.109948,0.889895,-2.249665
20 May 2022 17:15:00.000,-2636.200319,-779.956858,6512.754436,-6.946424,0.944340,-2.694969
20 May 2022 17:16:00.000,-3047.375529,-721.757576,6337.963928,-6.754780,0.994977,-3.129431
20 May 2022 17:17:00.000,-3446.227331,-660.639467,6137.475028,-6.535779,1.041600,-3.551291
20 May 2022 17:18:00.000,-3831.139936,-596.849151,5912.095623,-6.290294,1.084019,-3.958832
20 May 2022 17:19:00.000,-4200.553276,-530.644160,5662.734870,-6.019308,1.122061,-4.350396
20 May 2022 17:20:00.000,-4552.969414,-462.291908,5390.399668,-5.723909,1.155569,-4.724384
20 May 2022 17:21:00.000,-4886.958752,-392.068621,5096.190722,-5.405287,1.184406,-5.079270
20 May 2022 17:22:00.000,-5201.165975,-320.258229,4781.298201,-5.064727,1.208453,-5.413599
20 May 2022 17:23:00.000,-5494.315736,-247.151209,4446.997000,-4.703609,1.227611,-5.726001
20 May 2022 17:24:00.000,-5765.218028,-173.043409,4094.641624,-4.323397,1.241801,-6.015196
20 May 2022 17:25:00.000,-6012.773220,-98.234829,3725.660705,-3.925638,1.250962,-6.279994
20 May 2022 17:26:00.000,-6235.976740,-23.028391,3341.551180,-3.511953,1.255058,-6.519307
20 May 2022 17:27:00.000,-6433.923356,52.271320,2943.872144,-3.084031,1.254070,-6.732154
20 May 2022 17:28:00.000,-6605.811052,127.359319,2534.238405,-2.643622,1.248003,-6.917660
20 May 2022 17:29:00.000,-6750.944451,201.931492,2114.313780,-2.192529,1.236882,-7.075066
20 May 2022 17:30:00.000,-6868.737790,275.685873,1685.804147,-1.732601,1.220753,-7.203729
20 May 2022 17:31:00.000,-6958.717396,348.323902,1250.450297,-1.265724,1.199684,-7.303130
20 May 2022 17:32:00.000,-7020.523675,419.551682,810.020620,-0.793813,1.173762,-7.372868
20 May 2022 17:33:00.000,-7053.912590,489.081207,366.303667,-0.318804,1.143096,-7.412671
20 May 2022 17:34:00.000,-7058.756609,556.631568,-78.899387,0.157357,1.107814,-7.422392
20 May 2022 17:35:00.000,-7035.045137,621.930120,-523.782318,0.632720,1.068063,-7.402009
20 May 2022 17:36:00.000,-6982.884415,684.713619,-966.541444,1.105342,1.024009,-7.351628
20 May 2022 17:37:00.000,-6902.496901,744.729307,-1405.383180,1.573293,0.975836,-7.271479
20 May 2022 17:38:00.000,-6794.220122,801.735942,-1838.531523,2.034669,0.923743,-7.161918
20 May 2022 17:39:00.000,-6658.505029,855.504785,-2264.235420,2.487595,0.867947,-7.023421
20 May 2022 17:40:00.000,-6495.913858,905.820514,-2680.775999,2.930238,0.808679,-6.856584
20 May 2022 17:41:00.000,-6307.117508,952.482083,-3086.473605,3.360809,0.746184,-6.662116
20 May 2022 17:42:00.000,-6092.892467,995.303503,-3479.694621,3.777578,0.680719,-6.440843
20 May 2022 17:43:00.000,-5854.117311,1034.114567,-3858.858051,4.178874,0.612552,-6.193693
20 May 2022 17:44:00.000,-5591.768783,1068.761486,-4222.441813,4.563097,0.541961,-5.921699
20 May 2022 17:45:00.000,-5306.917507,1099.107465,-4568.988748,4.928718,0.469236,-5.625993
20 May 2022 17:46:00.000,-5000.723329,1125.033195,-4897.112296,5.274292,0.394670,-5.307795
